Symbol,Name,Profile,Website,Fund Type,Inception Date,Currency
PNBPSPL:PM,PNB Global Filipino Peso Money Market Fund,PNB Global Filipino Peso Money Market Fund is an open-end peso-denominated unit trust incorporated in the Philippines. The Fund is created to meet the investment needs of our Filipino Overseas Workers. These funds provide OFW clients an outlet to accumulate their savings for the purchase of a new home or educational plans for their children or other expenses for their families.,www.pnb.com.ph,Unit Trust,2006-01-11,PHP
PNBMHPR:PM,PNB Prime Peso Money Market Fund,PNB Prime Peso Money Market Fund is a peso-denominated unit trust incorporated in the Philippines. The Fund's objective is to achieve decent income accumulation. The Fund invests primarily in short-term fixed income instruments.,www.pnb.com.ph,NA,2005-11-10,PHP
PNBPHSX:PM,PNB Enhanced Phil-Index Reference Fund,PNB Enhanced Phil-Index Reference Fund is an open-end peso unit trust incorporated in the Philippines. The Fund seeks long-term growth by tracking as closely as possible the performance of the Philippine Stock Exchange Composite Index (PHISIX) of the Philippine Stock Exchange.,www.pnb.com.ph,Unit Trust,2006-08-30,PHP
PNBDPRF:PM,PNB Prime Dollar Money Market Fund,PNB Prime Dollar Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund is a  money-market fund invested in a portfolio of short and long-term bank deposits with a portfolio weighted average life of up to one year.,www.pnb.com.ph,NA,2011-03-07,USD
PNBHIDF:PM,PNB High Dividend Fund,PNB High Dividend Fund is an open-end unit trust incorporated in the Philippines . The Fund is an equity fund that seeks dividend income and long-term capital appreciation. The Fund may invest and reinvest in 100% Philippine stock market listed equities to form the representative stock basket. The stocks shall be chosen among the PSE stocks.,www.pnb.com.ph,Unit Trust,2012-06-15,PHP
PNBDRMB:PM,PNB DREAM Builder Money Market,"PNB DREAM Builder Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to help investors reach their goals of providing for their child's education, endowment gifts and start-up capital for a small business. The Fund is invested in purely deposit intruments for up to 1 year.",www.pnb.com.ph,NA,2008-12-03,PHP
PNBDLPL:PM,PNB Global Filipino Dollar Money Market Fund,PNB Global Filipino Dollar Money Market Fund is an open-end unit trust fund incorporated in the Philippines. The Fund is specifically created to meet the investment needs of our Filipino Overseas Workers. These funds provide clients an outlet to accumulate their savings for the purchase of a new home or educational plans for their children or other expenses for their families.,www.pnb.com.ph,Unit Trust,2005-12-23,USD
PNBDLPR:PM,PNB Profit Dollar Intermediate Term Bond Fund,PNB Profit Dollar Intermediate Term Bond Fund is an open-end dollar-denominated unit trust incorporated in the Philippines. The Fund's objective is to offer its investors the highest possible income for their dollars. The Fund invests primarily in high grade US and Philippine fixed income securities.,www.pnb.com.ph,Unit Trust,2005-10-03,USD
ALDUPEQ:PM,PNB Equity Fund,PNB Equity Fund is an open-end unit trust incorporated in the Philippines. The objective of this Fund is to invest in bluechip and secondary equity stocks that are listed in the Philippine Stock Exchange and fixed income securities issued and guaranteed by the Government of the Republic of the Philippines or bangko Sentral ng Pilipinas.,www.pnb.com.ph,Unit Trust,2007-02-26,PHP
ALDUPGS:PM,PNB Peso Intermediate Term Bond Fund,PNB Peso Intermediate Term Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund invested in a diversified portfolio of government securities.,www.pnb.com.ph,Unit Trust,2006-02-16,PHP
RCBTIGR:PM,Rizal Equity Fund,"Rizal Equity Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to achieve decent capital appreciation. The Fund invests up to a maximum of 80% of the fund in equities listed and to be listed in the Philippine Stock Exchange, with the balance invested in fixed income securities.",,Unit Trust,2005-03-28,PHP
RCBBALF:PM,Rizal Balanced Fund,Rizal Balanced Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to returns. The Fund invests a maximum limit of 60% in local equities listed and initial public offerings to be listed in the Philippine Stock Exchange with the balance invested in fixed income securities.,,Unit Trust,2009-06-19,PHP
RCBUNCN:PM,Rizal Peso Bond Fund,Rizal Peso Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to achieve decent capital appreciation. The Fund invests purely in fixed income securities.,,Unit Trust,2005-03-28,PHP
RCBEAGL:PM,Rizal Dollar Bond Fund,Rizal Dollar Bond Fund is an open-end unit trust incorporated in the Philippines . The Fund's objective is to achieve decent capital appreciation. The Fund invests in purely fixed income securities.,,Unit Trust,2005-03-28,USD
RCBPHCM:PM,Rizal Peso Cash Management Fund,Rizal Peso Cash Management Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to provide investment returns. The Fund invests in fixed income securities with a maximum portfolio duration of one year.,,NA,2014-11-24,PHP
RCBGEQF:PM,Rizal Global Equity Feeder Fund,Rizal Global Equity Feeder Fund is an open-end unit trust feeder fund incorporated in the Philippines. The Fund's objective is to provide capital growth and returns. The Fund invests 90% of its assets to a Target Fund. The Target Fund predominantly invests in global equities.,,Unit Trust,2014-12-10,USD
RCBDRGF:PM,Rizal Peso Money Market Fund,Rizal Peso Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to achieve decent capital appreciation. The Fund invests in short term fixed income securities with a maximum tenor of two years.,,Unit Trust,2005-03-28,PHP
RCBPHNX:PM,Rizal Dollar Money Market Fund,Rizal Dollar Money Market Fund is an open-end unit trust incorporated in  the Philippines. The Fund's objective is to achieve decent capital appreciation.The Fund invests in short term fixed income securities with a maximum tenor of  two years.,,Unit Trust,2005-03-28,USD
UCPBCSV:PM,UCPB Peso Bond Fund,"UCPB Peso Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund invests in deposits and in government securities. As such, investment in the Fund is very conservative and practically risk-free since investments in government securities are direct unconditional and general obligations of the Republic of the Philippines.",www.ucpb.com,NA,2005-05-27,PHP
UCPBBFA:PM,UCPB US$ Bond Fund,"UCPB US$ Bond Fund is an open-end fund incorporated in Philippines. The Fund's objective aims to surpass its benchmark which is the JP Morgan Asia Credit Index. The Fund invests in Negotiable Certificate of Deposits, and Non-Negotiable Certificate of Deposits, Securities issued by the Philippine Government, Global securities issued by the government of a foreign country",www.ucpb.com,Unit Trust,2015-12-08,USD
UCPBCSH:PM,UCPB Cash Management Fund,UCPB Cash Management Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to maximize yields on their excess cash. The Fund is invested in deposits and in Government securities.,www.ucpb.com,NA,2006-11-17,PHP
UCPBPIE:PM,UCPB Philippine Index Equity Fund,UCPB Philippine Index Equity Fund is a peso-denominated open-end unit trust incorporated in the Philippines. The Fund's objective is to provide long-term growth of capital. The Fund invests in the equity components of the Philippine Stock Exchange Composite Index (PSEi). The Fund also seeks to closely track the performance of the PSEi.,www.ucpb.com,Unit Trust,2015-09-30,PHP
UCPBHDF:PM,UCPB High Dividend Fund,"UCPB High Dividend Fund is an open-end unit trust incorporated in the Philippines. The Fund seeks to provide long-term growth of capital appreciation and steady income stream through investments in domestic, listed common and preferred shares. The Fund aims to surpass its benchmark which is the Philippine Stock Exchange Index (PSEi).",www.ucpb.com,Unit Trust,2014-04-08,PHP
UCPBDMM:PM,UCPB US$ Money Market Fund,"UCPB US$ Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund invests in deposits and in government securities. As such, investment in the Fund is very conservative and practically risk-free since investments in government securities are direct unconditional and general obligations of the Republic of the Philippines.",www.ucpb.com,NA,2005-09-15,USD
UCPBEQT:PM,UCPB Equity Fund,UCPB Equity Fund is a peso-denominated open-end unit trust in the Philippines. The Fund's objective is for medium to long-term capital growth. The Fund invests primarily in a diversified holding of equities in the Philippines.,www.ucpb.com,Unit Trust,2007-01-02,PHP
UCPBBAL:PM,UCPB Balanced Fund,UCPB Balanced Fund is a peso-denominated open-end unit trust incorporated in the Philippines. The Fund's objective is to offer investors with a long-term investment horizon. The Fund invests in Philippines equities and fixed income securities.,www.ucpb.com,Unit Trust,2007-01-02,PHP
UNPESBA:PM,UnionBank Peso Balanced Portfolio,UnionBank Peso Balanced Portfolio is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve attractive total returns and the outperformance of the UnionBank 50/50 Philippine Peso Balanced Portfolio Index. The Fund invests in a diversified set of investments in both equities and fixed-income markets.,www.unionbankph.com,Unit Trust,2011-02-15,PHP
IFDPRIM:PM,UnionBank Infinity Prime Fund,UnionBank Infinity Prime Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve for its participants the investment returns derived from a diversified portfolio of solely fixed income instruments.,www.unionbankph.com,Unit Trust,2006-09-29,PHP
IFPHDLB:PM,UnionBank Dollar Bond Portfolio,"UnionBank Dollar Bond Portfolio is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve higher returns than traditional fixed- income savings products, with medium-risk profile. The Fund invests in a diversified portfolio of locally available foreign currency debt securities issued by the Philippine government or Philippine-domiciled entities.",www.unionbankph.com,Unit Trust,2004-06-01,USD
IFDLTCI:PM,UnionBank Long Term Fixed Income Portfolio,UnionBank Long Term Fixed Income Portfolio is an open-end unit trust incorporated in the Philippines. Designed to payout monthly dividend income at a rate to be set once a year by the fund's investment manager. The fund will invest primarily in a diversified portfolio of peso-denominated investment-grade securities.,www.unionbankph.com,Unit Trust,2005-06-01,PHP
UBPDIVP:PM,UnionBank Dividend Play Equity Portfolio,UnionBank Dividend Play Equity Portfolio is an open-end unit trust incorporated in the Philippines. The Fund will invest in dividend yielding equity securities listed in the Philippine Stock Exchange Index (PSEi). The Fund has an equity-income/growth strategy that invests in stocks of well-established companies that have a history of dividend payments and capital appreciation.,www.unionbankph.com,Unit Trust,2014-03-21,PHP
IFDCIPT:PM,UnionBank Intermediate Term Fixed Income Portfolio,UnionBank Intermediate Term Fixed Income Portfolio is an open-end unit trust incorporated in the Philippines. The Fund is designed to pay out quarterly dividend income linked to the 91-day T-bill rate. The fund will invest primarily in a diversified portfolio of peso-denominated investment-grade securities.,www.unionbankph.com,Unit Trust,2005-06-01,PHP
IFDPPBP:PM,UnionBank Philippine Peso Fixed Income Portfolio,"UnionBank UBP Philippine Peso Fixed Income Portfolio is an open-end unit trust incorporated in the Philippines. The Fund is designed to achieve higher returns than traditional fixed-income savings products, with a low-risk profile, by investing in a diversified portfolio of peso denominated investment-grade debt securities.",www.unionbankph.com,Unit Trust,2004-01-02,PHP
UBPHEIT:PM,UnionBank Philippine Equity Index Tracker,UnionBank Philippine Equity Index Tracker Fund is an open-end unit trust incorporated in the Philippines. The Fund invests and mimics the performance of the Philippine Stock Exchange Index (PSEi). The Fund will buy all stocks that comprise the PSEi in the same weight as the index. The Fund aims to provide a return that tracks the performance of the PSEi.,www.unionbankph.com,Unit Trust,2014-05-22,PHP
UBPHNWM:PM,UnionBankHigh Net Worth Medium Term Peso Fixed Income Portfolio,UnionBank High Net Worth Medium-Term Peso Fixed Income Portfolio is an open-end unit trust incorporated in the Philippines. The Fund is designed to provide high net worth individual and corporate investors higher returns than traditional fixed-income savings products.,www.unionbankph.com,Unit Trust,2016-07-01,PHP
IFDLCPE:PM,UnionBank UBP Large Cap Philippine Equity Portfolio,"UnionBank UBP Large Cap Philippine Equity Portfolio is an open-end unit trust incorporated in the Philippines. The Fund is designed to achieve long-term capital growth by investing in a diversified portfolio of high-quality, large capitalization stocks with above-average earnings growth while maintaining a risk profile similar to the PHISIX.",www.unionbankph.com,Unit Trust,2005-03-01,PHP
IFDPMMP:PM,UnionBank Peso Short Term Fixed Income Portfolio,"UnionBank Peso Short Term Fixed Income Portfolio is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve enhanced yield and liquidity for short-term placements. The fund will invest in a diversified portfolio of short-term, highly liquid fixed-income securities, term deposits and other money market instruments.",www.unionbankph.com,NA,2006-02-08,PHP
UBPHNWI:PM,UnionBank High Net Worth Intermediate Term Peso Fixed Income Portfolio,UnionBank High Net Worth Intermediate-Term Peso Fixed Income Portfolio is an open-end unit trust incorporated in the Philippines. The Fund is designed to provide high net worth individual and corporate investors higher returns than traditional fixed-income savings products.,www.unionbankph.com,Unit Trust,2016-07-01,PHP
SLGVUGP:PM,Sun Life Grepa Growth Plus Fund,Sun Life Grepa Growth Plus Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to generate long term captial growth. The Fund invests in high quality Philippine listed equity and equity linked securities that yield dividends.,,Open-End Fund,2015-09-17,PHP
MPPHINC:PM,Target Income Fund,Manulife Peso Target Income Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide capital appreciation. The Fund invests in a diversified portfolio of fixed income and equity securities.,,Open-End Fund,2014-04-07,PHP
INGDVCP:PM,Odyssey Diversified Capital Fund,Odyssey Diversified Capital Fund is an open-end unit trust incorporated in the Philippines. The objective of the Fund is to pursue long-term capital growth by investing in a diversified portfolio of fixed income and equity securities. The Fund aims to outperform its benchmark which is a combinationof 70% HSBC Philippines Liquid Bond Index and 30% Philippine Stock Exchange Index (PSEi).,www.bpiexpressonline.com,Unit Trust,2006-12-04,PHP
FMOWNFD:PM,One Wealthy Nation Fund Inc,One Wealthy Nation Fund Inc. is an open-end mutual fund incorporated in the Philippines. The Fund aims to provide total return. The Fund invests in a mix of debt instruments and equity securities.,www.fami.com.ph,Open-End Fund,2013-12-17,PHP
MPPHBND:PM,Peso Bond Fund,Manulife Peso Bond Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to achieve stable and long-term growth. The Fund invests in government securities and/or high quality corporate debt securities and/or pooled funds invested in these securities and other liquid fixed income instruments.,,Open-End Fund,2004-04-01,PHP
MPUSAPB:PM,US Dollar Asia Pacific Bond Fund,Manulife US Dollar Asia Pacific Bond Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide capital appreciation and income. The Fund invests in fixed income securities in the Asia Pacific Region.,,Open-End Fund,2011-10-24,USD
SLGVU25:PM,Sun Life Grepa MyFuture 2025 Fund,Sun Life Grepa MyFuture 2025 Fund is open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide capital appreciation and subsequent preservation. The Fund invests in high-quality stocks and a mix of government and domestic corporate debt.,,Open-End Fund,2015-07-03,PHP
SBPSASV:PM,Security Bank SB Peso Asset Variety Fund UITF,SB Peso Asset Variety Fund is an open-end unit trust incorporated in The Philippines. The Fund's objective is to achieve capital appreciation. The Fund invests in variety of assets securities.,www.securitybank.com.ph,Unit Trust,2006-10-09,PHP
SBAPEFF:PM,SB Asia Pacific Equity Feeder Fund,"SB Asia Pacific Equity Feeder Fund is an open-end fund incorporated in the Philippines. The Fund's objective is to achieve income growth and investment returns that closely track the total return of the MUFG Asia Pacific ex Japan Equity Stable Growth Target Fund. The Fund invests primarily in Units or shares of a foreign collective investment scheme (""Target Fund"").",www.securitybank.com.ph,Unit Trust,2017-01-29,USD
SLPVU26:PM,Sun Life Financial Captains Fund,Sun Life Financial Captains Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The fund invests in equity securities of the country's largest conglomerates.,,Open-End Fund,2016-04-19,PHP
MPPHWFN:PM,Manulife Peso Wealth Optimizer 2031,Manulife Peso Wealth Optimizer 2031 is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide long-term capital growth. The Fund invests in a diversified portfolio of fixed income and equity securities and/or pooled funds that invest in these securities and other liquid fixed income instruments.,,Open-End Fund,2016-06-06,PHP
SNCPRBA:PM,Sun Life Prosperity Balanced Fund Inc,Sun Life Prosperity Balanced Fund Inc is open-end mutual fund registered in the Philippines. The Fund is designed to provide total returns consisting of current income and capital growth through investment in a mix of debt and equity securities from both domestic and foreign issuers.,www.sunlife.com.ph,Open-End Fund,2000-04-05,PHP
MCPHWFN:PM,Manulife Chinabank Peso Wealth Optimizer 2031,Manulife Chinabank Peso Wealth Optimizer 2031 is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide long-term capital growth. The Fund invests in a diversified portfolio of fixed income and equity securities and/or pooled funds that invest in these securities and other liquid fixed income instruments.,,Open-End Fund,2016-08-08,PHP
SNLFMNY:PM,Sun Life Prosperity Money Market Fund Inc,Sun life Prosperity Money Market Fund is an open-end mutual fund incorporated in the Philippines. The Fund's objective is to maximize income as is considered consistent with capital protection.,www.sunlife.com.ph,NA,2004-07-01,PHP
PREPDBF:PM,Premier Philam Dollar Bond Fund,Premier Philam Dollar Bond Fund is an open-end  variable life insurance (VUL) fund incorporated in the Philippines. The Fund's objective is to achieve capital preservation. The Fund invests in dollar-denominated fixed-income instruments.,www.philamfunds.com,Open-End Fund,2015-03-20,USD
PHILEQT:PM,Philequity Fund,Philequity Fund is an open-ended mutual fund registered in the Philippines. The objective of the Fund is to obtain capital appreciation by investing in a portfolio comprised of first tier Philippine equity securities.,www.philequity.net,Open-End Fund,1994-01-01,PHP
EKKLSIA:PM,Ekklesia Mutual Fund Inc,Ekklesia Mutual Fund is an open-end mutual fund incorporated in the Philippines. The Fund aims to achieve income growth. The Fund invests in medium- to long-term fixed income instruments.,www.mib.com.ph,Open-End Fund,2004-12-29,PHP
MPUSSEC:PM,US Dollar Secure Fund,Manulife US Dollar Secure Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund seeks to achieve long-term capital appreciation. The Fund invests in USD denominated sovereign and corporate debt securities and/or pooled funds that invest in these securities and other liquid instruments.,,Open-End Fund,2009-04-14,USD
PHILMMF:PM,Philequity Peso Bond Fund Inc,Philequity Peso Bond Fund is an open-end mutual fund incorporated in the Philippines. The Fund's objective is to generate income and achieve capital appreciation. The fund invests in fixed income securities.,www.philequity.net,Open-End Fund,2007-01-18,PHP
BNCDDFF:PM,BOC Diversity Dividend Focused Fund,BOC Diversity Dividend Focus Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide long-term capital growth. The Fund invests in equity securities with a track of dividend payments,http://www.bankcom.com.ph/,Unit Trust,2015-04-08,PHP
MCPHEQT:PM,MC Peso Equity Fund,Manulife Chinabank Peso Equity Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund seeks to achieve long-term capital appreciation. The Fund invests in equities listed on the Philippine Stock Exchange and in government securities and/or pooled funds that invests in these securities and other liquid instruments.,,Open-End Fund,2007-10-02,PHP
MCPHINC:PM,MC Target Income Fund,Manulife Chinabank Peso Target Income Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide capital appreciation. The Fund invests in a diversified portfolio of fixed income and equity securities.,,Open-End Fund,2014-09-02,PHP
BNCDMMF:PM,BOC Diversity Money Market Fund,BOC Diversity Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide capital preservation. The Fund invests in a diversified portfolio of deposits with local banks.,http://www.bankcom.com.ph/,NA,2013-08-16,PHP
ABFPH:PM,ABF Philippines Bond Index Fund,ABF Philippines Bond Index Fund is an open-end unit trust incorporated in the Philippines. The Fund's objective is to achieve investment results that closely match to the total return of the iBoxx Philippines Index. The Fund will invest in peso-denominated bonds issued by the government and quasi-government institutions.,www.bpiexpressonline.com,Unit Trust,2005-04-27,PHP
SBPSUIT:PM,SB Peso Bond Fund,"SB Peso Bond Fund is a peso-denominated open-end unit trust registered in the Philippines. The objective of the Fund is to provide investors readily liquid investment vehicles, subject to an initial holding period, and aims for competitive returns through prudent and active management of the portfolio.",www.securitybank.com.ph,Unit Trust,2005-07-01,PHP
MCPHDIS:PM,MC Target Distribution Fund,Manulife Chinabank Peso Target Distribution Fund is an open-end variable universal life (VUL) fund registered in the Philippines. The Fund aims to provide capital appreciation. The Fund invests in a diversified portfolio of fixed income and equity securities.,,Open-End Fund,2014-09-02,PHP
MPPHGRW:PM,Peso Growth Fund,"Manulife Peso Growth Fund is an open-end variable life insurance (VUL) fund registered in the Philippines. The Fund aims to achieve long-term capital appreciation. The Fund invests in equities listed on the Philippine Stock Exchange, government securities and/or pooled funds invested in equities and fixed income and other liquid instruments.",,Open-End Fund,2009-04-14,PHP
BNCMDLR:PM,BOC Diversity Dollar Bond Fund,BOC Diversity Dollar Bond Fund is an open-end unit trust incorporated in the Philippines. The Fund invests in a diversified portfolio of government securities dominated in US dollar.,http://www.bankcom.com.ph/,Unit Trust,2005-03-10,USD
INGDVBA:PM,Odyssey Diversified Balanced Fund,Odyssey Diversified Balanced Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve long-term capital and income growth. The Fund invests in a diversified portfolio of fixed income and equity  securities.,www.bpiexpressonline.com,Unit Trust,2006-05-12,PHP
ALFMDBF:PM,ALFM Dollar Bond Fund,ALFM Dollar Bond Fund is an open-ended mutual fund registered on the Philippines. The Fund aims to achieve capital preservation through a steady stream of income. The Fund invests in a diversified portfolio of fixed income instruments issued by foreign and local entities.,www.bpiexpressonline.com,Open-End Fund,1993-10-23,USD
SLGVU30:PM,Sun Life Grepa MyFuture 2030 Fund,Sun Life Grepa MyFuture 2030 Fund is open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide capital appreciation and subsequent preservation. The Fund invests in high-quality stocks and a mix of government and domestic corporate debt.,,Open-End Fund,2015-07-03,PHP
PHILDYF:PM,Philequity Dividend Yield Fund Inc,Philequity Dividend Yield Fund Inc is an open-end fund incorporated in the Philippines. The Fund's objective is to achieve long-term capital appreciation and generate regular income. The Fund invests in companies listed on the PSE that pay out dividends.,www.philequity.net,Open-End Fund,2014-02-07,PHP
SBGLEFA:PM,SB Global Equity Feeder Fund,"SB Global Equity Feeder Fund is an open-end fund incorporated in the Philippines. The Fund's objective is to achieve income growth and investment returns that closely track the total return of the MS INVF Global Opportunity Target Fund. The Fund invests primarily in Units or shares of a foreign collective investment scheme (""Target Fund"").",www.securitybank.com.ph,Unit Trust,2017-01-29,USD
SLPVU13:PM,Sun Life Financial Opportunity Fund,Sun Life Financial Opportunity Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide capital growth and returns. The Fund invests in a mix of bonds and equity securities from both domestic and foreign issuers.,,Open-End Fund,2011-05-03,PHP
SNLPRGS:PM,Sun Life Prosperity GS Fund Inc,"Sun Life Prosperity GS Fund is an open-end mutual fund incorporated in the Philippines. The Fund's objective is to generate total returns consisting of current income and capital preservation. The Fund invests government security, treasury notes, bills.",www.sunlife.com.ph,Open-End Fund,2005-03-01,PHP
MPPHDYN:PM,Peso Dynamic Allocation Fund,Manulife Peso Dynamic Allocation Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to achieve long-term capital growth. The Fund invests in peso denominated fixed income securities and securities listed on the Philippine Stock Exchange and/or pooled funds invested in these securities and other liquid fixed income instruments.,,Open-End Fund,2013-07-01,PHP
SLPVU12:PM,Sun Life Financial Income Fund,Sun Life Financial Income Fund is open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund invests in high quality fixed income instruments that are classified as below average risk.,,Open-End Fund,2011-05-03,PHP
SBUSEFA:PM,SB US Equity Feeder Fund,"SB US Equity Feeder Fund is an open-end fund incorporated in the Philippines. The Fund's objective is to achieve income growth and investment returns that closely track the total return of the MS INVF US Advantage Target Fund. The Fund invests primarily in Units or shares of a foreign collective investment scheme (""Target Fund"").",www.securitybank.com.ph,Unit Trust,2017-01-29,USD
SLGVUDF:PM,Sun Life Grepa Dynamic Fund,Sun Life Grepa Peso Dynamic Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide returns and capital growth. The Fund invests in a mix of high quality fixed income and equity instruments from domestic issuers.,,Open-End Fund,2015-04-27,PHP
PEIFIPM:PM,PAMI Equity Index Fund Inc,PAMI Equity Index Fund Inc is an open-end mutual fund incorporated in the Philippines. The Fund's objective is provide returns that will track the performance of the Philippine Stock Exchange Index (PSEi). The Fund invests in equities comprising the PSEi.,www.philamfunds.com,Open-End Fund,2015-06-16,PHP
MPPHEQT:PM,Peso Equity Fund,Manulife Peso Equity Fund is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund seeks to achieve long-term capital appreciation. The Fund invests in equities listed on the Philippine Stock Exchange and in government securities and/or pooled funds that invest in these securities and other liquid instruments.,,Open-End Fund,2007-09-04,PHP
SBPSHDF:PM,Security Bank - High Dividend Peso Equity Fund,SB High Dividend Peso Equity Fund is an open-end unit trust incorporated in the Philippines. The Fund invests in listed companies with high dividend yields or have an established a history of dividend payouts.,www.securitybank.com.ph,Unit Trust,2014-03-10,PHP
SBEUEFA:PM,SB Eurozone Equity Feeder Fund,"SB Eurozone Equity Feeder Fund is an open-end fund incorporated in the Philippines. The Fund's objective is to achieve income growth and investment returns that closely track the total return of the MS INVF Eurozone Equity Alpha Target Fund. The Fund invests primarily in Units or shares of a foreign collective investment scheme (""Target Fund"").",www.securitybank.com.ph,Unit Trust,2017-01-29,USD
ALFMEUR:PM,ALFM Euro Bond Fund,ALFM Euro Bond Fund is an open-end mutual fund registered in the Philippines. The Fund aims to achieve capital preservation through a steady stream of income. The Fund invests in a diversified portfolio of fixed income instruments issued by foreign and local entities.,www.bpiexpressonline.com,Open-End Fund,2005-07-04,EUR
INGPFIN:PM,Odyssey Peso Bond Fund,Odyssey Peso Bond Fund is an open-end unit trust established in the Philippines. The Fund's objective is to achieve capital preservation and income growth in Philippine Peso terms.  The Fund invests in a diversified portfolio of Philippine Peso denominated fixed-income instruments.,www.bpiexpressonline.com,Unit Trust,2003-05-05,PHP
MCPHDVF:PM,MC Peso Diversified Value Fund,"Manulife Chinabank Peso Diversified Value Fund is an open-end variable universal life (VUL) fund registered in the Philippines. The Fund aims to achieve long-term growth. The Fund invests in government securities and/or high quality corporate debt securities, equities listed on the Philippine Stock Exchange and/or pooled in invested in these securities.",,Open-End Fund,2009-04-14,PHP
MPPHWTY:PM,Manulife Peso Wealth Optimizer 2036,Manulife Peso Wealth Optimizer 2036 is an open-end variable universal life insurance (VUL) fund registered in the Philippines. The Fund aims to provide long-term capital growth. The Fund invests in a diversified portfolio of fixed income and equity securities and/or pooled funds that invest in these securities and other liquid fixed income instruments.,,Open-End Fund,2016-06-06,PHP
SLPDYNA:PM,Sun Life Prosperity Dynamic Fund Inc,"Sun Life Prosperity Dynamic Fund Inc is an open-end mutual fund incorporated in the Philippines. The Fund's objective is to generate long-term capital appreciation through investment in equity securities and/or government and corporate debtsecurities denominated in Philippine Pesos. The Fund will adopt a tactical asset allocation approach investing in equities, bonds and cash.",,Open-End Fund,2014-07-01,PHP
BPIEUFF:PM,BPI European Equity Feeder Fund,BPI European Equity Feeder Fund is an open-end unit trust feeder fund incorporated in Philippines. The Fund's objective is to achieve long-term capital growth by investing in a Target Fund that aims to provide returns in excess of the return of the MSCI Europe Index.,www.bpiexpressonline.com,Unit Trust,2014-08-04,USD
INGPINC:PM,Odyssey Peso Medium-Term Bond Investment Trust Fund,Odyssey Peso Medium-Term Bond Fund is an open-end unit trust established in the Philippines. The Fund's objective is to generate regular income. The Fund invests in a diversified portfolio of Philippine Peso denominated fixed income instruments.,www.bpiexpressonline.com,Unit Trust,2007-10-01,PHP
MCGTRIN:PM,Manulife Chinabank USD Global Target Income,Manulife Chinabank USD Global Target Income is an open-end variable universal life insurance (VUL) fund  registered in the Philippines. The Fund aims to achieve capital appreciation. The Fund invests in a diversified portfolio of collective investment schemes including exchange-traded funds (ETFs) and real estate investment trusts (REITs) and cash and cash equivalents.,,Open-End Fund,2016-06-07,USD
MBHIDIV:PM,METRO HIGH DIVIDEND YIELD FUND,Metro High Dividend Yield Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to achieve for its participants income and capital appreciation by investing in a portfolio of listed stocks which are expected to provide above average returns mainly from the distribution of cash and special dividends.,www.metrobank.com.ph,Unit Trust,2014-10-10,PHP
GREBOND:PM,Grepalife Bond Fund Corporation,Grepalife Bond Fund Corporation is an open-end mutual fund incorporated in the Philippines. The Fund aims to achieve capital preservation and returns. The Fund invests mainly in medium- to long-term fixed income instruments.,www.grepafunds.com,Open-End Fund,2009-11-30,PHP
