Symbol,Name,Country,Type,Industry/Objective
SFMETSA:LN,SF Metropolis Valuefund,GB,Open-End Fund,Foreign Growth
SFMETSI:LN,SF Metropolis Valuefund,GB,Open-End Fund,Foreign Growth
MBCAPGR:PM,Metro Balanced Fund,PH,Open-End Fund,Moderate Allocation
SFMET2I:LN,SF Metropolis Valuefund,GB,Open-End Fund,Foreign Growth
MBEQITY:PM,Metro Equity Fund,PH,Open-End Fund,Blend Broad Market
RENOACE:BB,Astro Metropolitan Rentastro,BE,Open-End Fund,Aggressive Allocation
MBDMMKF:PM,Metro$ Money Market Fund,PH,Open-End Fund,General (Non-US)
METVILO:FP,Metropole Gestion Villiers Opera,FR,Open-End Fund,Eurozone
MBELITE:PM,Metro Max-3 Bond Fund,PH,Open-End Fund,High Yield Bond
MBSTART:PM,Metro Money Market Fund,PH,Open-End Fund,General (Non-US)
MFCBMBF:TB,Bangkok Metropolitan Open-end Fund,TH,Open-End Fund,Growth Broad Market
MBPHLIQ:PM,Metro$ Max-3 Bond Fund,PH,Open-End Fund,High Yield Bond
MBPKEAR:PM,Metro Max-5 Bond Fund,PH,Open-End Fund,High Yield Bond
MBPSEIT:PM,METRO PSEi TRACKER FUND,PH,Open-End Fund,Blend Broad Market
MSTFUND:PM,Metro Short Term Fund,PH,Open-End Fund,General (Non-US)
MCBFUND:PM,Metro Corporate Bond Fund,PH,Open-End Fund,General Corporate Bond
MBPHLBD:PM,Metro$ Max-5 Bond Fund,PH,Open-End Fund,High Yield Bond
METSERU:FP,Metropole Funds - Metropole Selection Europe USD,FR,Open-End Fund,European Union
MWLDX:US,Metropolitan West Low Duration Bond Fund,US,Open-End Fund,Aggregate Bond Short
MWIMX:US,Metropolitan West Intermediate Bond Fund,US,Open-End Fund,Aggregate Bond Intermediate
MWTNX:US,Metropolitan West Total Return Bond Fund,US,Open-End Fund,Aggregate Bond Intermediate
MWTSX:US,Metropolitan West Total Return Bond Fund,US,Open-End Fund,Aggregate Bond Intermediate
MWHYX:US,Metropolitan West High Yield Bond Fund,US,Open-End Fund,High Yield Bond
MWTIX:US,Metropolitan West Total Return Bond Fund,US,Open-End Fund,Aggregate Bond Intermediate
MWTRX:US,Metropolitan West Total Return Bond Fund,US,Open-End Fund,Aggregate Bond Intermediate
FMSLBAL:PM,First Metro Save & Learn-Balanced Fund,PH,Open-End Fund,Dynamic Allocation
MWSIX:US,Metropolitan West Strategic Income Fund,US,Open-End Fund,Global Allocation
MWFLX:US,Metropolitan West Floating Rate Income Fund,US,Open-End Fund,Bank Loans
MWLIX:US,Metropolitan West Low Duration Bond Fund,US,Open-End Fund,Aggregate Bond Short
MWSTX:US,Metropolitan West Strategic Income Fund,US,Open-End Fund,Global Allocation
MWATX:US,Metropolitan West AlphaTrak 500 Fund,US,Open-End Fund,Blend Large Cap
MWUIX:US,Metropolitan West Ultra Short Bond Fund,US,Open-End Fund,Aggregate Bond Ultra Short
MWUSX:US,Metropolitan West Ultra Short Bond Fund,US,Open-End Fund,Aggregate Bond Ultra Short
MWCRX:US,Metropolitan West Unconstrained Bond Fund,US,Open-End Fund,Fixed Income Diversified
MBASPEQ:PM,Metro Aspire Equity Feeder Fund,PH,Open-End Fund,Blend Broad Market
MBASPBA:PM,Metro Aspire Balanced Feeder Fund,PH,Open-End Fund,Moderate Allocation
MWLNX:US,Metropolitan West Low Duration Bond Fund,US,Open-End Fund,Aggregate Bond Short
MWCIX:US,Metropolitan West Unconstrained Bond Fund,US,Open-End Fund,Fixed Income Diversified
MWEFDER:PM,Metro World Equity Feeder Fund,PH,Open-End Fund,Foreign Growth
MWSTX:US,Metropolitan West Strategic Income Fund,US,Open-End Fund,Global Allocation
MWUIX:US,Metropolitan West Ultra Short Bond Fund,US,Open-End Fund,Aggregate Bond Ultra Short
MWUSX:US,Metropolitan West Ultra Short Bond Fund,US,Open-End Fund,Aggregate Bond Ultra Short
MBASPEQ:PM,Metro Aspire Equity Feeder Fund,PH,Open-End Fund,Blend Broad Market
MWCRX:US,Metropolitan West Unconstrained Bond Fund,US,Open-End Fund,Fixed Income Diversified
MATVSB:BZ,Metropolitana Ativos FIDC Multimercado Longo Prazo,BR,FIDC,Asset-Backed Securities
MWIIX:US,Metropolitan West Intermediate Bond Fund,US,Open-End Fund,Aggregate Bond Intermediate
FMSLEQT:PM,First Metro Save & Learn Equity Fund,PH,Open-End Fund,Blend Broad Market
BBMICLP:BZ,BB Metropolitano Fundo de Investimento Cambial LP,BR,Open-End Fund,Currency
FMSLFIX:PM,First Metro Save & Learn Fixed-Income Fund,PH,Open-End Fund,Aggregate Bond
IPMSTR:BZ,Metro Indices de Precos Alfaprev Master FI Renda Fixa Previdenciario,BR,Open-End Fund,Aggregate Bond
MTTRY:US,METRO AG,US,ADR,Food-Retail
CAIXAMR:BZ,Caixa Fundo de Investimento em Cotas de Fundo de Inv Metro Rio 114 Cambial LP,BR,Fund of Funds,Currency
BEM-R:TB,Bangkok Expressway & Metro PCL,TH,NVDR,Transport-Services
EPUMY:US,Eletropaulo Metropolitana Eletricidade de Sao Paulo SA,US,ADR,Electric-Distribution
ELPL4:BZ,Eletropaulo Metropolitana Eletricidade de Sao Paulo SA,BR,Preference,Electric-Distribution
CMA:AU,Centuria Metropolitan REIT,AU,REIT,REITS-Diversified
EMAE4:BZ,EMAE-Empresa Metropolitana de Aguas e Energia SA,BR,Preference,Electric-Generation
MSC-R:TB,Metro Systems Corp PCL,TH,NVDR,Computers-Integrated Sys
M1P1:GZ,Metropole Gestion Metropole Selection,DE,Open-End Fund,European Union
M1P1:GR,Metropole Gestion Metropole Selection,DE,Open-End Fund,European Union
M1P1:SW,Metropole Gestion Metropole Selection,CH,Open-End Fund,European Union
MTRAF:US,Metro Inc,US,Common Stock,Food-Retail
MTAGF:US,METRO AG,US,Common Stock,Food-Retail
ME:SW,METRO AG,CH,Common Stock,Food-Retail
62M:GR,Metro Inc,DE,Common Stock,Food-Retail
MEOD:GR,METRO AG,DE,ADR,Food-Retail
MRU:SW,Metro Inc,CH,Common Stock,Food-Retail
MGSBF:US,MetroGas SA,US,Common Stock,Gas-Distribution
M1P4:GR,Metropole Funds - Metropole Avenir Europe,DE,Open-End Fund,Multiple Region
MMT:GR,Metropole Television SA,DE,Common Stock,Television
MTPVY:US,Metropole Television SA,US,ADR,Television
MOHDY:US,Metro Holdings Ltd/Singapore,US,ADR,Retail-Misc/Diversified
6ME:GR,Metro Mining Ltd,DE,Common Stock,Metal-Aluminum
3MA:GR,Metrofile Holdings Ltd,DE,Common Stock,Divers Oper/Commer Serv
6MB:GR,Metro Bank PLC,DE,Common Stock,Commer Banks Non-US
MBNKF:US,Metro Bank PLC,US,Common Stock,Commer Banks Non-US
MO3A:GR,Metro One Telecommunications,DE,Common Stock,Telecom Services
MPCFF:US,Metro Pacific Investments Corp,US,Common Stock,Water
MTPGF:US,Metro Performance Glass Ltd,US,Common Stock,Bldg Prod-Doors&Windows
MPCIY:US,Metro Pacific Investments Corp,US,ADR,Water
MPP:AU,Metro Performance Glass Ltd,AU,Common Stock,Bldg Prod-Doors&Windows
B4X:GR,Bangkok Expressway & Metro PCL,DE,Foreign Sh.,Transport-Services
B4X1:GR,Bangkok Expressway & Metro PCL,DE,NVDR,Transport-Services
MTPOF:US,Metropolitan Bank & Trust Co,US,Common Stock,Commer Banks Non-US
MTPOY:US,Metropolitan Bank & Trust Co,US,ADR,Commer Banks Non-US
PNB:IN,Punjab National Bank,IN,Common Stock,Commer Banks Non-US
PNBI:US,Pioneer Bankshares Inc,US,Common Stock,Commer Banks-Southern US
PNBN:IJ,Bank Pan Indonesia Tbk PT,ID,Common Stock,Commer Banks Non-US
PNB:PM,Philippine National Bank,PH,Common Stock,Commer Banks Non-US
PNBC:US,Princeton National Bancorp Inc,US,Common Stock,Commer Banks-Central US
PNBK:US,Patriot National Bancorp Inc,US,Common Stock,Commer Banks-Eastern US
PNBS:IJ,Bank Panin Dubai Syariah Tbk PT,ID,Common Stock,Commer Banks Non-US
PNBHOUSI:IN,PNB Housing Finance Ltd,IN,Common Stock,Finance-Mtge Loan/Banker
PGLT:IN,PNB Gilts Ltd,IN,Common Stock,Diversified Finan Serv
PNBUIRI:LX,Priviledge - Wellington Large Cap US Research,LU,Open-End Fund,US
PNBUMRA:LX,Priviledge - Wellington Large Cap US Research,LU,Open-End Fund,US
PNBCNFA:SJ,Point3 BCI Conservative Fund of Funds,ZA,Fund of Funds,Conservative Allocation
PNBMMOD:IN,PNB Metlife ULIP Moderator Fund,IN,Open-End Fund,Moderate Allocation
PNBBLFA:SJ,Point3 BCI Balanced Fund of Funds,ZA,Fund of Funds,Moderate Allocation
PNBPFSA:LN,Pru Newton Balanced Pension Fund Ser A,GB,Open-End Fund,Global Allocation
PNBUPRI:LX,Priviledge - Wellington Large Cap US Research,LU,Open-End Fund,US
PNBMVRT:IN,PNB Metlife ULIP Virtue Fund,IN,Open-End Fund,Blend Broad Market
PNBMGRD:IN,PNB Metlife ULIP Gratuity Debt Fund,IN,Open-End Fund,Aggregate Bond
PNBMHPT:PM,PNB Prestige Balanced Fund,PH,Open-End Fund,Aggregate Bond Short
PNBMULF:IN,PNB Metlife ULIP Liquid Fund,IN,Open-End Fund,N.A.
PNBMULF:IN,PNB Metlife ULIP Liquid Fund,IN,Open-End Fund,N.A.
PNBPSPL:PM,PNB Global Filipino Peso Money Market Fund,PH,Open-End Fund,General Corporate Bond
PNBMHPR:PM,PNB Prime Peso Money Market Fund,PH,Open-End Fund,General (Non-US)
PNBAX:US,AllianzGI NFJ Large Cap Value Fund,US,Open-End Fund,Value Large Cap
PNBPHSX:PM,PNB Enhanced Phil-Index Reference Fund,PH,Open-End Fund,Growth Broad Market
PNBDPRF:PM,PNB Prime Dollar Money Market Fund,PH,Open-End Fund,General (Non-US)
PNBURRA:LX,Priviledge - Wellington Large Cap US Research,LU,Open-End Fund,US
PNBHIDF:PM,PNB High Dividend Fund,PH,Open-End Fund,Blend Broad Market
PNBDRMB:PM,PNB DREAM Builder Money Market,PH,Open-End Fund,General (Non-US)
PNBMFXC:IN,PNB Metlife ULIP Flexi Cap Fund,IN,Open-End Fund,Blend Broad Market
PNBMMU3:IN,PNB Metlife ULIP Multiplier III Fund,IN,Open-End Fund,Blend Broad Market
PNBMBAL:IN,PNB Metlife ULIP Balancer Fund,IN,Open-End Fund,Dynamic Allocation
PNBUMRI:LX,Priviledge - Wellington Large Cap US Research,LU,Open-End Fund,US
PNBUPRA:LX,Priviledge - Wellington Large Cap US Research,LU,Open-End Fund,US
PNBCX:US,AllianzGI NFJ Large Cap Value Fund,US,Open-End Fund,Value Large Cap
PNBMACC:IN,PNB Metlife ULIP Accelerator Fund,IN,Open-End Fund,Blend Broad Market
PNBUCUI:LX,Priviledge - Wellington Large Cap US Research,LU,Open-End Fund,US
PNBMMU2:IN,PNB Metlife ULIP Multiplier II Fund,IN,Open-End Fund,Blend Broad Market
PNBDLPL:PM,PNB Global Filipino Dollar Money Market Fund,PH,Open-End Fund,General Corporate Bond
PNBMVR2:IN,PNB Metlife ULIP Virtue Fund II,IN,Open-End Fund,Blend Broad Market
PNBMPTR:IN,PNB Metlife ULIP Protector Fund,IN,Open-End Fund,Aggregate Bond
PNBMPT2:IN,PNB Metlife ULIP Protector II Fund,IN,Open-End Fund,Aggregate Bond
PNBMPSV:IN,PNB Metlife ULIP Preserver Fund,IN,Open-End Fund,Government Bond
PNBGEFY:TT,PineBridge Asia ex Japan Focus Equity Fund,TW,Open-End Fund,Aggressive Allocation
PNBMGRB:IN,PNB Metlife ULIP Gratuity Balanced Fund,IN,Open-End Fund,Dynamic Allocation
PNBMBA2:IN,PNB Metlife ULIP Balancer II Fund,IN,Open-End Fund,Dynamic Allocation
PNBGEFD:TT,PineBridge Asia ex Japan Focus Equity Fund,TW,Open-End Fund,Aggressive Allocation
PNBMMUL:IN,PNB Metlife ULIP Multiplier Fund,IN,Open-End Fund,Blend Broad Market
PNBDLPR:PM,PNB Profit Dollar Intermediate Term Bond Fund,PH,Open-End Fund,Multiple Country
PNBMDIS:IN,PNB Metlife ULIP Discontinued Policy fund,IN,Open-End Fund,N.A.
PNBMWWA:SJ,Point3 BCI Moderate Worldwide Fund of Funds,ZA,Fund of Funds,Moderate Allocation
ALDUPEQ:PM,PNB Equity Fund,PH,Open-End Fund,Dynamic Allocation
ALDUPGS:PM,PNB Peso Intermediate Term Bond Fund,PH,Open-End Fund,Government Bond
AHP:MK,Amanah Harta Tanah PNB,MY,REIT,REITS-Diversified
PNB/F:IN,Punjab National Bank,IN,Common Stock,Commer Banks Non-US
RZL:CN,Rizal Resources Corp,CA,Common Stock,Mining Services
RCB:PM,Rizal Commercial Banking Corp,PH,Common Stock,Commer Banks Non-US
RCBTIGR:PM,Rizal Equity Fund,PH,Open-End Fund,Growth Broad Market
RCBBALF:PM,Rizal Balanced Fund,PH,Open-End Fund,Dynamic Allocation
RCBUNCN:PM,Rizal Peso Bond Fund,PH,Open-End Fund,General Corporate Bond
RCBEAGL:PM,Rizal Dollar Bond Fund,PH,Open-End Fund,General Corporate Bond
RCBPHCM:PM,Rizal Peso Cash Management Fund,PH,Open-End Fund,General (Non-US)
RCBGEQF:PM,Rizal Global Equity Feeder Fund,PH,Open-End Fund,Foreign Growth
RCBDRGF:PM,Rizal Peso Money Market Fund,PH,Open-End Fund,Short Term Corporate Bond
RCBPHNX:PM,Rizal Dollar Money Market Fund,PH,Open-End Fund,Short Term Corporate Bond
RFU2:GR,Rizal Resources Corp,DE,Common Stock,Mining Services
RZLLY:US,Rizal Commercial Banking Corp,US,ADR,Commer Banks Non-US
UCPBCSV:PM,UCPB Peso Bond Fund,PH,Open-End Fund,General (Non-US)
UCPBBFA:PM,UCPB US$ Bond Fund,PH,Open-End Fund,Aggregate Bond
UCPBCSH:PM,UCPB Cash Management Fund,PH,Open-End Fund,General (Non-US)
UCPBUFD:LX,UBS Global Solutions - Corporate Bonds,LU,Open-End Fund,Long Term Corporate Bond
UCPBPIE:PM,UCPB Philippine Index Equity Fund,PH,Open-End Fund,Growth Broad Market
UCPBHDF:PM,UCPB High Dividend Fund,PH,Open-End Fund,Value Broad Market
UCPBDMM:PM,UCPB US$ Money Market Fund,PH,Open-End Fund,General (Non-US)
UCPBEQT:PM,UCPB Equity Fund,PH,Open-End Fund,Blend Broad Market
UCPBBAL:PM,UCPB Balanced Fund,PH,Open-End Fund,Moderate Allocation
UCPBUFA:LX,UBS Global Solutions - Corporate Bonds,LU,Open-End Fund,Long Term Corporate Bond
UNPESBA:PM,UnionBank Peso Balanced Portfolio,PH,Open-End Fund,Moderate Allocation
IFDPRIM:PM,UnionBank Infinity Prime Fund,PH,Open-End Fund,Aggregate Bond Intermediate
IFPHDLB:PM,UnionBank Dollar Bond Portfolio,PH,Open-End Fund,Aggregate Bond
IFDLTCI:PM,UnionBank Long Term Fixed Income Portfolio,PH,Open-End Fund,General Corporate Bond
UBPDIVP:PM,UnionBank Dividend Play Equity Portfolio,PH,Open-End Fund,Value Large Cap
IFDCIPT:PM,UnionBank Intermediate Term Fixed Income Portfolio,PH,Open-End Fund,General Corporate Bond
IFDPPBP:PM,UnionBank Philippine Peso Fixed Income Portfolio,PH,Open-End Fund,General Corporate Bond
UBPHEIT:PM,UnionBank Philippine Equity Index Tracker,PH,Open-End Fund,Blend Large Cap
UBPHNWM:PM,UnionBankHigh Net Worth Medium Term Peso Fixed Income Portfolio,PH,Open-End Fund,Aggregate Bond
IFDLCPE:PM,UnionBank UBP Large Cap Philippine Equity Portfolio,PH,Open-End Fund,Growth Large Cap
IFDPMMP:PM,UnionBank Peso Short Term Fixed Income Portfolio,PH,Open-End Fund,General (Non-US)
UBPHNWI:PM,UnionBank High Net Worth Intermediate Term Peso Fixed Income Portfolio,PH,Open-End Fund,Aggregate Bond Intermediate
PHEXEXP:IND,Philippines External Trade Exports,PH,Index,NA
PHOSTOTY:IND,Philippines Commercial Banks Loans Outstanding Total Gross YoY,PH,Index,NA
PHOSTLNY:IND,Philippines Commercial Banks Loan Outstanding Total Net YoY,PH,Index,NA
PHIMYOY:IND,Philippines External Trade Imports YoY,PH,Index,NA
PHWRTOTL:IND,Philippines Overseas Filipino Workers Remittances,PH,Index,NA
PHEXYOY:IND,Philippines External Trade Exports YoY,PH,Index,NA
PHIRTTL:IND,Philippines Gross Intl Reserves,PH,Index,NA
PHNAGDP:IND,Philippines National Accounts GDP Constant 2000 Prices QoQ SA,PH,Index,NA
PHBOP:IND,Philippines BOP,PH,Index,NA
PHETBOT:IND,Philippines External Balance of Trade,PH,Index,NA
PHC2II:IND,Philippines CPI All items YoY% 2006=100,PH,Index,NA
PGDYTY:IND,Philippines Annual GDP Constant 2000 Prices Growth Rate,PH,Index,NA
PHGVSURP:IND,Philippines Budget Balance Monthly,PH,Index,NA
PHC2MOM:IND,Philippines CPI All items MoM% 2006=100,PH,Index,NA
PCOMP:IND,Philippines Stock Exchange PSEi Index,PH,Equity Index,NA
PASHR:IND,Philippines Stock Exchange All Share Index,PH,Equity Index,NA
PHIMIMP:IND,Philippines External Trade Imports,PH,Index,NA
PHGDPYOY:IND,Philippines GDP Constant 2000 Prices YoY,PH,Index,NA
PHMS3YOY:IND,Philippines Money Supply M3 YoY,PH,Index,NA
PHLFUERT:IND,Philippines Labor Force Survey Unemployment Rate New Concept,PH,Index,NA
PHWRTTLY:IND,Philippines Overseas Filipino Workers Remittances YoY,PH,Index,
PPCBON:IND,Central Bank of Philippines Overnight Reverse Repurchase Agreement RRP Rate,PH,Index,
PHIA:NA,Koninklijke Philips NV,NL,Common Stock,Electronic Compo-Misc
SMPH:PM,SM Prime Holdings Inc,PH,Common Stock,Real Estate Mgmnt/Servic
SM:PM,SM Investments Corp,PH,Common Stock,Retail-Misc/Diversified
PM:US,Philip Morris International Inc,US,Common Stock,Tobacco
PH:US,Parker-Hannifin Corp,US,Common Stock,Diversified Manufact Op
AC:PM,Ayala Corp,PH,Common Stock,Real Estate Oper/Develop
URC:PM,Universal Robina Corp,PH,Common Stock,Food-Misc/Diversified
AEV:PM,Aboitiz Equity Ventures Inc,PH,Common Stock,Diversified Operations
MER:PM,Manila Electric Co,PH,Common Stock,Electric-Distribution
BDO:PM,BDO Unibank Inc,PH,Common Stock,Commer Banks Non-US
TEL:PM,PLDT Inc,PH,Common Stock,Telephone-Integrated
BPI:PM,Bank of the Philippine Islands,PH,Common Stock,Commer Banks Non-US
AP:PM,Aboitiz Power Corp,PH,Common Stock,Electric-Integrated
JGS:PM,JG Summit Holdings Inc,PH,Common Stock,Food-Misc/Diversified
ALI:PM,Ayala Land Inc,PH,Common Stock,Real Estate Oper/Develop
PHM:US,PulteGroup Inc,US,Common Stock,Bldg-Residential/Commer
FJPB:PM,F&J Prince Holdings Corp,PH,Common Stock,Real Estate Oper/Develop
EURO:PM,Euro-Med Laboratories Phil Inc,PH,Common Stock,Medical Products
DATEM:PM,Datem Inc,PH,Common Stock,Building&Construct-Misc
WLCON:PM,Wilcon Depot Inc,PH,Common Stock,Retail-Building Products
AR:PM,Abra Mining & Industrial Corp,PH,Common Stock,Gold Mining
GLO:PM,Globe Telecom Inc,PH,Common Stock,Telecom Services
MB:PM,Manila Bulletin Publishing Corp,PH,Common Stock,Publishing-Newspapers
LMG:PM,LMG Chemicals Corp,PH,Common Stock,Chemicals-Diversified
BHI:PM,Boulevard Holdings Inc,PH,Common Stock,Hotels&Motels
HI:PM,House of Investments Inc,PH,Common Stock,Divers Oper/Commer Serv
RLT:PM,Philippine Realty & Holdings Corp,PH,Common Stock,Real Estate Oper/Develop
RCI:PM,Roxas and Co Inc,PH,Common Stock,Sugar
MAXS:PM,Max's Group Inc,PH,Common Stock,Distribution/Wholesale
MRC:PM,MRC Allied Inc,PH,Common Stock,Real Estate Oper/Develop
I:PM,I-Remit Inc,PH,Common Stock,Diversified Finan Serv
KEP:PM,Keppel Philippines Properties Inc,PH,Common Stock,Real Estate Oper/Develop
PCP:PM,PICOP Resources Inc,PH,Common Stock,Paper&Related Products
MAB:PM,Manila Mining Corp,PH,Common Stock,Gold Mining
BLOOM:PM,Bloomberry Resorts Corp,PH,Common Stock,Gambling (Non-Hotel)
JAS:PM,Jackstones Inc,PH,Common Stock,Diversified Finan Serv
SHNG:PM,Shang Properties Inc,PH,Common Stock,Real Estate Mgmnt/Servic
JOH:PM,Jolliville Holdings Corp,PH,Common Stock,Diversified Operations
PCP:PM,PICOP Resources Inc,PH,Common Stock,Paper&Related Products
IDC:PM,Italpinas Development Corp,PH,Common Stock,Real Estate Oper/Develop
HLCM:PM,Holcim Philippines Inc,PH,Common Stock,Bldg Prod-Cement/Aggreg
PTT:PM,Philippine Telegraph & Telephone Corp,PH,Common Stock,Telephone-Integrated
MAXS:PM,Max's Group Inc,PH,Common Stock,Distribution/Wholesale
KEP:PM,Keppel Philippines Properties Inc,PH,Common Stock,Real Estate Oper/Develop
HI:PM,House of Investments Inc,PH,Common Stock,Divers Oper/Commer Serv
RLT:PM,Philippine Realty & Holdings Corp,PH,Common Stock,Real Estate Oper/Develop
RCI:PM,Roxas and Co Inc,PH,Common Stock,Sugar
MRC:PM,MRC Allied Inc,PH,Common Stock,Real Estate Oper/Develop
I:PM,I-Remit Inc,PH,Common Stock,Diversified Finan Serv
PSB:PM,Philippine Savings Bank,PH,Common Stock,Commer Banks Non-US
DFNN:PM,DFNN Inc,PH,Common Stock,Internet Applic Sftwr
OV:PM,Philodrill Corp/The,PH,Common Stock,Oil Comp-Explor&Prodtn
PHA:PM,Premiere Horizon Alliance Corp,PH,Common Stock,Real Estate Oper/Develop
AR:PM,Abra Mining & Industrial Corp,PH,Common Stock,Gold Mining
GLO:PM,Globe Telecom Inc,PH,Common Stock,Telecom Services
ION:PM,Ionics Inc/Philippines,PH,Common Stock,Electronic Compo-Misc
BHI:PM,Boulevard Holdings Inc,PH,Common Stock,Hotels&Motels
MEG:PM,Megaworld Corp,PH,Common Stock,Real Estate Oper/Develop
NRCP:PM,National Reinsurance Corp of the Philippines,PH,Common Stock,Reinsurance
UNI:PM,Unioil Resources & Holdings Co Inc,PH,Common Stock,Investment Companies
HLCM:PM,Holcim Philippines Inc,PH,Common Stock,Bldg Prod-Cement/Aggreg
PTT:PM,Philippine Telegraph & Telephone Corp,PH,Common Stock,Telephone-Integrated
LTG:PM,LT Group Inc,PH,Common Stock,Beverages-Wine/Spirits
SLI:PM,Sta Lucia Land Inc,PH,Common Stock,Real Estate Oper/Develop
EEI:PM,EEI Corp,PH,Common Stock,Building&Construct-Misc
MWC:PM,Manila Water Co Inc,PH,Common Stock,Water
PAX:PM,Paxys Inc,PH,Common Stock,Telecom Services
DNL:PM,D&L Industries Inc,PH,Common Stock,Food-Misc/Diversified
RLC:PM,Robinsons Land Corp,PH,Common Stock,Real Estate Oper/Develop
SEVN:PM,Philippine Seven Corp,PH,Common Stock,Retail-Convenience Store
DIZ:PM,Dizon Copper-Silver Mines Inc,PH,Common Stock,Diversified Minerals
PSPC:PM,Phoenix Semiconductor Philippines Corp,PH,Common Stock,Electronic Compo-Semicon
CYBR:PM,Cyber Bay Corp,PH,Common Stock,Real Estate Oper/Develop
ARA:PM,Araneta Properties Inc,PH,Common Stock,Real Estate Oper/Develop
CEB:PM,Cebu Air Inc,PH,Common Stock,Airlines
PPC:PM,Pryce Corp,PH,Common Stock,Gas-Distribution
BKR:PM,Bright Kindle Resources & Investments Inc,PH,Common Stock,Finance-Credit Card
ION:PM,Ionics Inc/Philippines,PH,Common Stock,Electronic Compo-Misc
SOC:PM,SOCResources Inc,PH,Common Stock,Oil Comp-Explor&Prodtn
V:PM,Vantage Equities Inc,PH,Common Stock,Diversified Finan Serv
SUN:PM,Suntrust Home Developers Inc,PH,Common Stock,Diversified Operations
MAC:PM,MacroAsia Corp,PH,Common Stock,Food-Catering
MBC:PM,Manila Broadcasting Co,PH,Common Stock,Radio
TFC:PM,PTFC Redevelopment Corp,PH,Common Stock,Real Estate Mgmnt/Servic
PIZZA:PM,Shakey's Pizza Asia Ventures Inc,PH,Common Stock,Retail-Restaurants
AUB:PM,Asia United Bank Corp,PH,Common Stock,Money Center Banks
FOOD:PM,Alliance Select Foods International Inc,PH,Common Stock,Food-Canned
BMM:PM,Bogo Medellin Milling Co Inc,PH,Common Stock,Sugar
STN:PM,Steniel Manufacturing Corp,PH,Common Stock,Containers-Paper/Plastic
NIKL:PM,Nickel Asia Corp,PH,Common Stock,Non-Ferrous Metals
EIBA:PM,Export & Industry Bank Inc,PH,Common Stock,Commer Banks Non-US
MVC:PM,Mabuhay Vinyl Corp,PH,Common Stock,Chemicals-Diversified
PRMX:PM,Primex Corp,PH,Common Stock,Real Estate Oper/Develop
ROCK:PM,Rockwell Land Corp,PH,Common Stock,Real Estate Oper/Develop
GREEN:PM,Greenergy Holdings Inc,PH,Common Stock,Energy-Alternate Sources
STR:PM,Starmalls Inc,PH,Common Stock,Real Estate Mgmnt/Servic
GEO:PM,GEOGRACE Resources Philippines Inc,PH,Common Stock,Diversified Minerals
SFI:PM,Swift Foods Inc,PH,Common Stock,Food-Meat Products
DIZ:PM,Dizon Copper-Silver Mines Inc,PH,Common Stock,Diversified Minerals
ARA:PM,Araneta Properties Inc,PH,Common Stock,Real Estate Oper/Develop
PA:PM,Pacifica Inc,PH,Common Stock,Investment Companies
MAHB:PM,Metro Alliance Holdings & Equities Corp,PH,Common Stock,Chemicals-Specialty
IPO:PM,iPeople Inc,PH,Common Stock,Schools
UPM:PM,United Paragon Mining Corp,PH,Common Stock,Diversified Minerals
TECH:PM,Cirtek Holdings Philippines Corp,PH,Common Stock,Electronic Compo-Semicon
FEU:PM,Far Eastern University Inc,PH,Common Stock,Schools
PX:PM,Philex Mining Corp,PH,Common Stock,Diversified Minerals
FGEN:PM,First Gen Corp,PH,Common Stock,Electric-Generation
FFI:PM,Filipino Fund Inc,PH,Common Stock,Investment Companies
PHEN:PM,Phinma Energy Corp,PH,Common Stock,Oil Comp-Explor&Prodtn
1466141D:PM,Wilcon Builder's Depot,PH,Common Stock,Retail-Building Products
PNX:PM,Phoenix Petroleum Philippines Inc,PH,Common Stock,Oil Refining&Marketing
PMPC:PM,Panasonic Manufacturing Philippines Corp,PH,Common Stock,Appliances
FMETF:PM,First Metro Philippine Equity Exchange Traded Fund Inc,PH,ETF,Broad Market
COL:PM,COL Financial Group Inc,PH,Common Stock,Internet Brokers
RRHI:PM,Robinsons Retail Holdings Inc,PH,Common Stock,Retail-Misc/Diversified
MAH:PM,Metro Alliance Holdings & Equities Corp,PH,Common Stock,Chemicals-Specialty
CNPF:PM,Century Pacific Food Inc,PH,Common Stock,Food-Wholesale/Distrib
ICT:PM,International Container Terminal Services Inc,PH,Common Stock,Whsing&Harbor Trans Serv
IRC:PM,IRC Properties Inc,PH,Common Stock,Real Estate Oper/Develop
CHP:PM,CEMEX Holdings Philippines Inc,PH,Common Stock,Bldg Prod-Cement/Aggreg
SPC:PM,SPC Power Corp,PH,Common Stock,Electric-Integrated
GSMI:PM,Ginebra San Miguel Inc,PH,Common Stock,Beverages-Wine/Spirits
FLI:PM,Filinvest Land Inc,PH,Common Stock,Real Estate Oper/Develop
BH:PM,BHI Holdings Inc,PH,Common Stock,Investment Companies
PXP:PM,PXP Energy Corp,PH,Common Stock,Oil Comp-Explor&Prodtn
CEI:PM,Crown Equities Inc,PH,Common Stock,Real Estate Oper/Develop
PIP:PM,Pepsi-Cola Products Philippines Inc,PH,Common Stock,Beverages-Non-alcoholic
SBS:PM,SBS Philippines Corp,PH,Common Stock,Chemicals-Other
PBB:PM,Philippine Business Bank Inc,PH,Common Stock,Special Purpose Banks
DD:PM,DoubleDragon Properties Corp,PH,Common Stock,Real Estate Oper/Develop
